courier,service_type,total_orders,completed_orders,cancelled_orders,cancellation_rate_pct,total_revenue,avg_order_value,avg_shipping_cost,order_share_pct
Hemat Kargo,SPX Hemat,11571,10103,1250,10.80,456328155,45168,5005,61.33
Reguler (Cashless),SPX Standard,4047,3704,323,7.98,136337058,36808,926,21.45
SPX Hemat,NaN,454,392,57,12.56,13589986,34668,1798,2.41
Hemat Kargo,NaN,427,0,427,100.00,0,,,2.26
Instant (Versi Lama),SPX Instant (Versi Lama),312,271,41,13.14,58913420,217393,16893,1.65
Reguler (Cashless),JNE Reguler,293,281,11,3.75,13879929,49395,3178,1.55
Same Day,SPX Sameday,273,245,28,10.26,27825861,113575,12416,1.45
Kargo,JNE Trucking (JTR),172,154,18,10.47,62803005,407812,24359,0.91
Hemat Kargo,J&T Economy,169,134,35,20.71,13104342,97794,27754,0.90
SPX Standard,NaN,164,142,20,12.20,7482103,52691,5221,0.87
Reguler (Cashless),NaN,160,0,160,100.00,0,,,0.85
Kargo,J&T Cargo,150,140,10,6.67,72732985,519521,23115,0.79
Reguler (Cashless),J&T Express,105,94,11,10.48,9659209,102758,20306,0.56
Agen SPX Express,NaN,86,67,19,22.09,3419863,51043,8284,0.46
Hemat Kargo,J&T Cargo,55,48,6,10.91,21414122,446128,9429,0.29
J&T Cargo,NaN,51,38,12,23.53,8850980,232921,10123,0.27
Kargo,NaN,46,0,46,100.00,0,,,0.24
Instant (Versi Lama),NaN,41,0,41,100.00,0,,,0.22
Instant,SPX Instant,40,35,4,10.00,6735273,192436,5571,0.21
Next Day,JNE YES,26,25,1,3.85,1894237,75769,24380,0.14
Same Day,GoSend Same Day,24,22,2,8.33,1889522,85887,17818,0.13
J&T Express,NaN,24,20,4,16.67,765757,38288,1720,0.13
JNE Reguler,NaN,22,20,2,9.09,544137,27207,50,0.12
Instant (Versi Lama),GoSend Instant (Versi Lama),22,21,1,4.55,12284640,584983,13238,0.12
SPX Sameday,NaN,18,15,2,11.11,1086325,72422,13422,0.10
SPX Express Point,NaN,17,15,2,11.76,910462,60697,8633,0.09
Same Day,NaN,15,0,15,100.00,0,,,0.08
Instant (Versi Lama),GrabExpress Instant (Versi Lama),11,9,2,18.18,5502249,611361,5333,0.06
GoSend Same Day,NaN,10,8,2,20.00,499159,62395,22688,0.05
GoSend Instant (Versi Lama),NaN,9,8,1,11.11,687039,85880,10625,0.05
SPX Instant (Versi Lama),NaN,8,7,1,12.50,703820,100546,17619,0.04
Hemat Kargo,JNE Trucking (JTR),7,5,2,28.57,2391968,478394,44420,0.04
GrabExpress Instant (Versi Lama),NaN,7,6,1,14.29,420281,70047,2167,0.04
GrabExpress Instant,NaN,6,3,3,50.00,475910,158637,5833,0.03
SPX Instant,NaN,5,3,2,40.00,526800,175600,9233,0.03
Instant,NaN,5,0,5,100.00,0,,,0.03
J&T Economy,NaN,3,1,2,66.67,39480,39480,28000,0.02
Next Day,NaN,3,0,3,100.00,0,,,0.02
Instant Prioritas,SPX Instant Prioritas,2,2,0,0.00,131400,65700,20000,0.01
JNE YES,NaN,2,2,0,0.00,598860,299430,63000,0.01
JNE Trucking (JTR),NaN,2,2,0,0.00,3182215,1591108,0,0.01
Gosend Instant,NaN,1,1,0,0.00,107063,107063,8500,0.01
GrabExpress Sameday,NaN,1,1,0,0.00,37000,37000,18000,0.01
GoSend Instant Prioritas,NaN,1,0,1,100.00,0,,,0.01
SPX Instant Prioritas,NaN,1,1,0,0.00,93300,93300,21400,0.01
